Dascyllus aruanus samples from New Caledonia        
304, 331, 589, 523, 360, 565, 542, 590 
Pop        
Mara_Mara1, 133157 115130 171207 120144 224232 149155 216242 165181
Mara_Mara2, 143145 121121 213271 134134 232234 151175 180194 169171
Mara_Mara3, 131159 121133 189193 134150 210228 145155 198228 169177
Mara_Mara4, 141143 118121 259273 130134 222228 153179 242250 171175
Mara_Mara5, 143143 121133 203225 138160 216234 145179 204212 183197
Mara_Mara6, 141143 121136 177201 120180 226236 147153 210210 157165
Mara_Mara7, 135135 101115 207207 134152 228234 175175 204256 159197
Mara_Mara8, 139143 121130 207213 134140 224228 149153 192194 161175
Mara_Mara9, 131141 121121 167207 134150 226230 149151 178232 141155
Mara_Mara10, 143167 121130 183205 126134 230230 161163 184250 167177
Mara_Mara11, 133143 121127 193251 156162 210228 147163 222224 171175
Mara_Mara12, 131145 127133 225245 160160 228230 147155 232240 173181
Mara_Mara13, 141143 121121 199219 154170 230246 151151 248250 171201
Mara_Mara14, 129133 118124 189213 134148 222228 147171 210224 179207
Mara_Mara15, 141145 118121 193215 140150 228236 151153 192236 159181
Mara_Mara16, 143145 127130 259261 134152 216228 157163 228264 155161
Mara_Mara17, 119151 118127 199211 130158 232236 153161 192254 137165
Mara_Mara18, 131141 121124 213253 134142 224230 151151 210222 165171
Mara_Mara19, 141153 121121 203243 140152 224228 149153 200212 155169
Mara_Mara20, 143143 124127 189213 132162 224224 147159 218222 173187
Mara_Mara21, 145157 124124 217227 138140 220230 155155 192210 167169
Mara_Mara22, 135149 121127 189201 140168 216230 151151 208222 143189
Mara_Mara23, 137141 115115 193201 134140 228230 147151 216240 137187
Mara_Mara24, 143143 121121 209213 150154 224232 173173 212242 161169
Mara_Mara25, 143143 121127 167205 148148 210232 155155 210236 175195
Mara_Mara26, 141163 121124 195267 140168 228230 149179 218232 143181
Mara_Mara27, 143155 121127 193275 132146 220228 145155 192228 137165
Mara_Mara28, 131133 118127 201217 134134 222234 151157 194270 137163
Mara_Mara29, 143155 121127 197197 130154 228234 149153 228238 155173
Mara_Mara30, 129143 121127 211237 120126 216234 155167 222226 179227
Mara_Mara31, 133147 124133 209211 142154 210226 155157 216256 163165
Mara_Mara32, 143165 121121 179185 134146 224228 155175 178210 145157
Mara_Mara33, 119141 121133 181191 140154 214230 149157 230236 159175
Mara_Mara34, 143143 124127 205209 126134 230232 147149 208208 175189
Mara_Mara35, 141141 115121 165183 140158 232232 151155 190204 193195
Mara_Mara36, 133145 121121 181219 134152 230232 151155 210218 163169
Mara_Mara37, 145199 121130 189207 156170 228232 147157 194232 159171
Mara_Mara38, 131143 124130 167211 134156 216228 151153 194210 137169
Mara_Mara39, 135143 121124 189235 136140 228230 155173 204212 137161
Mara_Mara40, 141159 115124 191211 136142 216240 151153 212224 175177
Mara_Mara41, 131151 121127 189209 146164 208232 155167 188208 165169
Mara_Mara42, 131151 121121 211267 140148 224228 147153 222232 169177
Mara_Mara43, 131141 133133 187265 130140 220228 149155 178222 161163
Mara_Mara44, 155159 124124 167189 150168 220224 151155 212238 169169
Mara_Mara45, 131141 121124 207245 134190 220226 147151 220250 147193
Mara_Mara46, 131143 121121 181189 134136 224234 151157 222228 139175
Mara_Mara47, 143145 121127 187205 130156 224228 151151 208232 177179
Mara_Mara48, 131159 124130 217223 140150 216220 151155 204214 151161
Mara_Mara49, 141145 121127 213225 130156 224228 173173 178198 143175
Mara_Mara50, 133135 124124 207207 130140 230234 151151 204222 159171
Mara_Mara51, 133141 121124 193203 134146 230232 149169 232246 155167
418 0, 141145 121133 177189 136144 228228 151177 216228 173207
Pop        
Ten_Ten1, 135141 121127 171209 134154 230258 151163 198232 163167
Ten_Ten2, 149149 118121 191267 134162 228230 149151 236242 161193
Ten_Ten3, 141141 124124 209251 134134 230232 155175 214228 139165
Ten_Ten4, 143143 121121 189229 134166 238260 153157 210246 165177
Ten_Ten5, 131141 118130 213261 140150 220226 149151 218236 161177
Ten_Ten6, 131141 127130 169225 134162 228230 151155 172210 137157
Ten_Ten7, 141143 121142 177217 136136 210240 153155 194214 155179
Ten_Ten8, 141141 121127 199199 134144 230256 151159 200252 177193
Ten_Ten9, 141143 127133 199213 134134 228228 155155 204218 163163
Ten_Ten10, 131141 121121 189213 136156 228232 147153 178218 155173
Ten_Ten11, 133159 121121 205217 134144 210226 151175 172256 167177
Ten_Ten12, 141141 121133 179219 140158 210230 147151 194216 155183
Ten_Ten13, 143143 121130 189207 130154 222232 147151 204234 179191
Ten_Ten14, 141143 121124 207211 138140 226244 163167 194220 161193
Ten_Ten15, 143145 121124 169183 136150 228234 151151 228236 171171
Ten_Ten16, 133141 121127 167249 134160 232234 151151 194212 169185
Ten_Ten17, 145151 124127 223233 136158 226226 151153 194212 177185
Ten_Ten18, 133143 121124 189217 140160 210224 167171 204236 173183
Ten_Ten19, 133143 121133 189193 132154 218232 149163 204236 153159
Ten_Ten20, 141143 121130 197207 134142 224226 147167 232238 159193
Ten_Ten21, 141143 124124 189249 136158 210216 153155 182194 165185
Ten_Ten22, 131131 121127 213235 130156 224256 147165 228232 143177
Ten_Ten23, 129143 124127 177189 140142 224228 163167 212240 169177
Ten_Ten24, 141143 121124 189267 142142 224230 145147 210218 181181
Ten_Ten25, 151151 121127 193219 140152 228234 143151 184212 161193
Ten_Ten26, 141145 124133 189213 132162 228232 155155 236244 157171
Ten_Ten27, 133143 118127 213251 134170 228244 151161 212212 165179
Ten_Ten28, 141141 121121 179209 136140 228264 151155 194194 157165
Ten_Ten29, 119131 118121 191199 136148 228232 143151 208212 143185
Ten_Ten30, 131145 124133 203205 148154 224232 151155 200230 169169
Ten_Ten31, 139141 121127 191197 136166 230230 155163 210270 177181
Ten_Ten32, 131143 121121 181207 134140 224228 149155 204228 151171
Ten_Ten33, 143157 124124 183205 140142 220236 153157 184220 133165
Ten_Ten34, 151151 124124 215229 134134 208230 141165 184188 147159
Ten_Ten35, 143143 118121 203269 138150 236238 143167 206232 151165
Ten_Ten36, 131143 121121 233275 136166 220234 147155 184212 149155
Ten_Ten37, 141143 127133 203241 134146 210216 145161 202310 179199
Ten_Ten38, 131141 121124 181243 142170 228232 147153 214248 143143
Ten_Ten39, 143143 124127 195215 134156 224224 155155 184226 169169
Ten_Ten40, 143151 124127 189207 134140 228230 149151 210220 163175
Ten_Ten41, 143143 121121 183271 134150 210224 171173 212236 163169
Ten_Ten42, 141143 115127 189213 134154 222228 147149 186196 161183
Ten_Ten43, 141141 121124 183197 132140 232258 149151 182216 165195
Ten_Ten44, 123133 127136 191201 126140 226228 151155 184210 169185
Ten_Ten45, 143143 118124 193211 140146 224230 145151 200232 161191
Ten_Ten46, 129143 121127 181199 142146 228232 151159 206232 143155
Ten_Ten47, 147157 121139 207249 136158 224230 165165 212232 173177
Ten_Ten48, 133161 121127 191197 134160 210228 149151 202222 171171
Ten_Ten49, 141143 124133 193245 132148 228256 145167 214216 173191
Ten_Ten50, 131131 124127 201243 138156 228230 147155 188232 157175
Ten_Ten51, 131143 121121 189189 132140 216232 151177 210232 163169
454.7 0, 119131 118121 205211 126138 224232 147159 212230 177193
Pop        
MBO_MBO1, 141151 121124 173211 140152 230238 151155 212244 177189
MBO_MBO2, 143151 121124 189215 136136 228234 147155 204240 171183
