Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'  Distances are linear along the coast of Viti Levu and the Yasawas         
304, 408, 331, 589, 494, 523, 360, 565, 542, 593, 590 
Pop           
Suva_Suva1, 133143 190196 115124 211211 192230 120126 220230 155157 196224 155161 177179
Suva_Suva2, 133133 202216 124127 189199 184224 142152 228230 155155 140196 157157 173177
Suva_Suva3, 141161 190190 118124 203211 164232 138158 226228 159161 196214 153167 165173
Suva_Suva4, 145161 184204 112121 189205 158158 126170 228230 143155 188196 155155 149173
Suva_Suva5, 133161 188188 115121 207219 158204 126138 230236 151155 222234 159191 159181
Suva_Suva6, 133159 190190 121124 177185 162172 136150 226228 155157 222236 153173 155175
Suva_Suva7, 143143 196224 115121 189197 184192 150158 226228 155157 194228 161177 155197
Suva_Suva8, 133143 204206 124127 211215 170170 136154 230232 155157 180234 155181 163181
Suva_Suva9, 143147 184230 121124 173185 152164 126130 222228 147157 194238 159159 173177
Suva_Suva10, 133143 190190 121121 193211 158166 126134 228232 147157 184194 165173 165169
Suva_Suva11, 143143 188196 124127 209211 184196 168172 240258 157157 196254 159165 173181
Suva_Suva12, 141143 204208 121121 183185 158158 158160 228228 147157 212228 155159 175195
Suva_Suva13, 131143 192192 121124 189205 158158 120134 228228 157157 188212 171175 177193
Suva_Suva14, 143161 190196 121124 189213 158162 142154 228228 157157 184212 159161 173193
Suva_Suva15, 133143 190190 121121 205211 180218 160176 244248 177177 214256 189189 189193
Suva_Suva16, 143143 198198 121124 177213 164164 152168 228230 157157 224238 153161 157165
Suva_Suva17, 143143 212212 121121 201205 150150 122134 228230 153155 206212 161187 159185
Suva_Suva18, 141143 198224 121124 199203 158218 152152 228230 155157 188238 155159 173177
Suva_Suva19, 141143 188200 124127 183201 190192 142150 220228 155157 228252 159161 177193
Suva_Suva20, 131143 188190 121124 197207 148164 136154 222230 153165 222228 165189 165175
Suva_Suva21, 141143 198198 124124 185185 170170 136162 204228 153155 212212 189189 165177
Suva_Suva22, 133141 184184 121121 185207 168200 126162 220230 155175 212236 155159 173177
Suva_Suva23, 141143 196198 115127 211219 158192 120120 210234 153157 186220 169171 149177
Suva_Suva24, 141143 204204 115121 177201 158190 142150 228232 147161 212228 159179 173189
Suva_Suva25, 143143 198198 121124 189211 158190 136142 228230 155159 222242 181189 175211
Suva_Suva26, 133145 204204 121124 189191 148148 130152 222228 155155 192204 153189 151167
Suva_Suva27, 143161 186190 121121 207211 180180 140154 228234 153161 222258 145161 155177
Suva_Suva28, 143143 184216 115121 205215 170214 120126 222232 153173 198212 159159 165175
Suva_Suva29, 137137 188188 121121 181207 158166 134136 210228 155161 236254 153161 175197
Suva_Suva30, 143161 182188 124127 183199 160164 120164 222230 147149 238256 155163 177181
Suva_Suva31, 141161 184184 121124 185211 164228 126136 228228 157163 186220 151153 153165
Suva_Suva32, 141143 190208 124127 209211 164202 136154 230230 161163 192260 189189 151171
Suva_Suva33, 139143 186186 121121 183197 158184 126152 228230 163165 188192 155165 165197
Suva_Suva34, 133141 184190 121127 207211 152164 134136 228228 151155 216226 169175 155179
Suva_Suva35, 145145 190198 127133 207209 148166 142142 222226 155159 186236 153177 175179
Suva_Suva36, 141141 000000 121127 177213 158164 136136 228228 147155 228238 151173 173193
Suva_Suva37, 143145 196224 121121 183183 196212 130168 228230 155157 208224 153161 173197
Suva_Suva38, 133143 216216 115124 211221 158196 130136 228230 155161 236258 161163 155171
Suva_Suva39, 143151 188188 121124 205207 176176 120120 228230 153155 184196 165189 155163
Suva_Suva40, 141143 000000 127127 207255 180186 136138 216230 155157 194194 161161 163175
Suva_Suva41, 141143 188188 121121 185201 178194 134136 212228 155163 136228 173179 179181
Suva_Suva42, 143143 188190 121121 185209 158164 158168 228230 153153 138230 181189 155177
Suva_Suva43, 145161 188188 121127 185185 186226 120136 222232 155155 136212 155167 173175
Suva_Suva44, 141141 212224 121124 183193 166186 136152 220228 147155 148208 159173 177193
Suva_Suva45, 121145 184188 121133 183207 144152 136138 228228 155159 148224 177183 177193
Suva_Suva46, 143145 188224 121127 197211 180184 144150 220226 153155 152236 155159 173193
Suva_Suva47, 141143 184226 121127 189205 160186 134142 222228 157159 144228 171185 153173
Suva_Suva48, 143161 212212 124127 189235 196204 136142 228232 155157 212216 153159 175175
Suva_Suva49, 133141 196196 121124 205207 182192 130148 220230 155163 212228 155163 155193
Suva_Suva50, 143161 188188 121127 207217 164192 136136 228228 147159 212232 155181 155175
Suva_Suva51, 131141 184190 121127 185211 158212 136136 228230 153175 258258 155169 171183
Suva_Suva52, 143143 188188 121124 177199 180180 132150 230242 153155 236258 155155 169187
Suva_Suva53, 121143 184190 121124 189203 180192 140168 228230 153155 228244 157169 173177
Suva_Suva54, 133159 184188 121121 183183 158158 136142 220228 155155 192194 155155 155179
Suva_Suva55, 143143 188190 124127 175207 158158 130142 226228 153159 194246 163181 155177
98.16 0, 143143 204208 121124 211231 152216 136142 228236 147167 188226 163165 175177
Pop           
Muaiv_Muaiv1, 131143 190194 121121 205219 158202 190196 230236 155155 226240 145153 171179
Muaiv_Muaiv2, 143161 000000 121121 203219 166166 190190 222222 147169 196222 157163 165165
Muaiv_Muaiv3, 161169 190204 121127 211215 158214 136140 228228 157159 192236 153161 153173
Muaiv_Muaiv4, 143161 188188 115124 197203 158226 142142 220230 147153 226228 189189 185197
Muaiv_Muaiv5, 141143 188214 121121 211213 180180 130150 228228 143175 212212 155163 177203
Muaiv_Muaiv6, 143143 222230 121124 183189 158192 142142 220232 151155 226236 153161 165177
Muaiv_Muaiv7, 143143 188190 124124 203203 158158 136150 218220 163165 222226 155161 165177
Muaiv_Muaiv8, 143143 212212 121127 201207 196196 120142 226230 153155 210258 153173 173173
Muaiv_Muaiv9, 133143 184184 121121 197215 158200 140142 220228 153155 194222 155155 173205
Muaiv_Muaiv10, 133141 190190 121121 203207 158202 136142 228236 153171 194236 163189 179181
Muaiv_Muaiv11, 141163 190212 121130 183263 164164 144158 222228 157159 228236 161173 155169
Muaiv_Muaiv12, 133143 190192 121127 197211 214214 130130 228236 171175 212226 169185 175177
Muaiv_Muaiv13, 133143 000000 124127 189209 166166 142154 228228 153155 182238 177189 155175
Muaiv_Muaiv14, 131143 190190 121127 195257 158190 136136 222232 147157 194222 155155 175183
Muaiv_Muaiv15, 133145 184186 115127 189213 190208 150152 228232 153157 236236 153181 181193
Muaiv_Muaiv16, 143145 190190 121124 197201 206216 140140 230230 149163 194212 169191 171181
Muaiv_Muaiv17, 143145 194194 121127 189211 152168 142142 228236 155165 222240 155189 171183
Muaiv_Muaiv18, 143159 184188 121121 183189 158212 134160 228240 147151 192210 163193 169179
Muaiv_Muaiv19, 133141 212212 121121 199215 148148 134142 218238 155159 236256 155155 147165
Muaiv_Muaiv20, 143143 188212 121121 207207 166174 136142 222228 153163 184222 181189 177203
Muaiv_Muaiv21, 141145 184190 121121 207219 170222 134142 228230 155157 192238 129153 173177
Muaiv_Muaiv22, 133141 190190 121124 199201 148154 134170 220228 147155 206260 161171 153173
Muaiv_Muaiv23, 143147 184184 121121 189203 190194 126130 228228 147155 196196 135183 179233
Muaiv_Muaiv24, 133153 190190 121124 179185 158184 158190 222234 147153 238256 153191 175179
Muaiv_Muaiv25, 143145 190190 121127 231231 180198 126126 230232 155155 192206 167193 155169
Muaiv_Muaiv26, 141143 204204 121124 205219 166212 126136 216230 153159 194194 155167 177193
Muaiv_Muaiv27, 133161 188188 121127 203211 158164 142142 228228 147155 204236 153189 179195
Muaiv_Muaiv28, 133143 190190 121127 207213 158216 136158 228230 155159 176236 159163 171177
Muaiv_Muaiv29, 141141 190190 121124 197213 214216 136136 224228 153157 226234 149161 173177
Muaiv_Muaiv30, 141141 188190 121121 189189 182196 134136 222230 157161 204212 161189 175181
Muaiv_Muaiv31, 141141 188190 121121 189189 182196 134136 222230 157161 204212 161189 175181
Muaiv_Muaiv32, 141145 190212 115130 203211 158182 142164 226230 155159 194224 159163 173175
Muaiv_Muaiv33, 133141 188212 121127 211221 158214 142150 238240 151157 184184 171189 171175
Muaiv_Muaiv34, 143145 184188 121124 201205 168194 148158 228228 153165 222222 171173 179193
Muaiv_Muaiv35, 143143 190212 121124 183193 158188 136168 228228 167167 184198 151159 173183
Muaiv_Muaiv36, 141143 186212 121124 177225 158168 134158 214226 155155 224228 173189 177179
Muaiv_Muaiv37, 145165 184196 121121 185189 158160 150152 220228 155159 222222 153159 177183
Muaiv_Muaiv38, 145145 188204 121124 207213 148158 120144 228232 155159 238258 167177 167173
Muaiv_Muaiv39, 141145 184188 121121 183207 176210 142152 230230 149155 238250 183187 165169
Muaiv_Muaiv40, 145147 208212 121127 177195 192202 134162 228228 147155 188238 189189 177183
Muaiv_Muaiv41, 133143 186186 121121 205223 148214 120162 228230 155155 212212 155193 175181
Muaiv_Muaiv42, 143161 196196 121127 197201 158162 126138 220230 153157 230234 153155 165185
Muaiv_Muaiv43, 131141 188190 115121 207211 158210 150162 220232 155155 176236 153161 167177
Muaiv_Muaiv44, 133143 188196 121121 209213 164210 134142 228228 155155 194234 153171 177177
Muaiv_Muaiv45, 133143 204204 121133 211233 192218 136142 226226 153155 210242 163171 175179
Muaiv_Muaiv46, 143143 200200 121127 189217 148148 120126 218230 153163 188270 163175 157187
Muaiv_Muaiv47, 133143 212212 115127 177211 212214 148168 230230 155159 194208 163189 173173
Muaiv_Muaiv48, 141161 196208 115127 207215 166182 140142 230230 163177 232252 155171 179183
Muaiv_Muaiv49, 143143 190190 115118 205215 182200 136158 218230 147149 192238 155171 153173
Muaiv_Muaiv50, 131143 188188 121127 203209 158186 142152 220230 153155 228238 169173 193193
Muaiv_Muaiv51, 143145 184196 121121 205207 180214 138140 228230 157159 194208 153187 175191
Muaiv_Muaiv52, 143143 188196 115121 189211 152194 126152 210232 153155 212238 155159 193235
Muaiv_Muaiv53, 141141 204210 121127 189273 152158 126142 222238 153155 186224 153171 173177
106.03 0, 133143 216216 115124 189205 166240 136150 228234 157159 206228 155189 193195
Pop           
Yanu_Yanu1, 141143 190190 121124 185211 182182 136158 222228 157157 188212 155157 175183
Yanu_Yanu2, 149161 188192 115127 201201 158158 132136 220230 155157 194238 155161 149179
Yanu_Yanu3, 143143 190210 115121 207215 164186 126130 228230 155155 194222 159189 175181
Yanu_Yanu4, 143143 190204 121121 211219 158164 130130 228232 155157 186258 189189 169175
Yanu_Yanu5, 143143 188188 121121 211239 168180 136140 228230 155157 178184 165177 155193
Yanu_Yanu6, 135143 184194 121127 201201 158158 136152 228230 155157 224240 155161 149193
Yanu_Yanu7, 143163 188190 121121 193203 170192 134142 220228 153155 194194 171175 175187
Yanu_Yanu8, 143151 202202 121124 189219 146182 134142 222228 153153 188192 165181 177193
