Output from NeEstimator v2.1
Starting time: Mon Mar 14 17:33:22 2022
Input File: "Daruanus_All_8locus.gen"

Number of Loci = 8


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Monogamy

Lowest allele frequencies used:     0.0500    0.0400    0.0300    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
                   	         	0.0300	      50.0   	      3972  	 0.021767	  0.021276	   1356.0	     447.5	  Infinite	     313.7	  Infinite	      1553
                   	         	0.0200	      50.0   	      8333  	 0.021633	  0.021276	   1863.7	     644.9	  Infinite	     455.8	  Infinite	      3220
                   	         	0.0100	      50.0   	     14661  	 0.021573	  0.021276	   2239.3	     830.8	  Infinite	     620.6	  Infinite	      6323
10:Mo_Mo31-92      	    264  	0.0500	     264.0   	       996  	 0.003681	  0.003834	  -4382.5	    3437.3	  Infinite	    1225.6	  Infinite	       280
                   	         	0.0400	     264.0   	      1260  	 0.003785	  0.003834	 -13647.8	    2513.0	  Infinite	    1608.4	  Infinite	       612
                   	         	0.0300	     264.0   	      2044  	 0.003831	  0.003834	-231470.5	    2737.6	  Infinite	    1595.7	  Infinite	       748
                   	         	0.0200	     264.0   	      2532  	 0.003804	  0.003834	 -22658.1	    3521.9	  Infinite	    2325.8	  Infinite	      1258
                   	         	0.0100	     264.0   	      4260  	 0.003764	  0.003834	  -9543.0	    6998.6	  Infinite	    3618.6	  Infinite	      1862
11:Muaiv_Muaiv1    	     54  	0.0500	      54.0   	       960  	 0.020540	  0.019612	    715.9	     227.4	  Infinite	     100.8	  Infinite	       153
                   	         	0.0400	      54.0   	      1357  	 0.019659	  0.019612	  14433.2	     410.5	  Infinite	     177.9	  Infinite	       289
                   	         	0.0300	      54.0   	      1825  	 0.019585	  0.019612	 -24564.6	     506.8	  Infinite	     246.0	  Infinite	       489
                   	         	0.0200	      54.0   	      2752  	 0.019327	  0.019612	  -2340.3	     854.1	  Infinite	     349.2	  Infinite	       710
                   	         	0.0100	      54.0   	      4815  	 0.019991	  0.019612	   1760.0	     552.2	  Infinite	     262.7	  Infinite	       786
12:Nadi_Nadi1      	     51  	0.0500	      50.7   	       874  	 0.021608	  0.020979	   1057.5	     234.8	  Infinite	     190.1	  Infinite	       540
                   	         	0.0400	      50.7   	      1153  	 0.021330	  0.020975	   1874.1	     299.0	  Infinite	     254.9	  Infinite	       815
                   	         	0.0300	      50.6   	      1578  	 0.021799	  0.021003	    834.4	     274.9	  Infinite	     181.1	  Infinite	       548
                   	         	0.0200	      50.5   	      2608  	 0.021235	  0.021033	   3305.3	     472.5	  Infinite	     328.5	  Infinite	      1195
                   	         	0.0100	      50.5   	      4771  	 0.021566	  0.021054	   1297.7	     471.8	  Infinite	     325.9	  Infinite	      1723
13:Puna_Puna1      	     25  	0.0500	      25.0   	       873  	 0.046720	  0.045184	    400.3	      96.7	  Infinite	      65.8	  Infinite	       369
                   	         	0.0400	      25.0   	      1972  	 0.046074	  0.045184	    692.4	     156.0	  Infinite	     129.1	  Infinite	      1262
                   	         	0.0300	      25.0   	      1972  	 0.046074	  0.045184	    692.4	     156.0	  Infinite	     129.1	  Infinite	      1262
                   	         	0.0200	      25.0   	      3421  	 0.045698	  0.045184	   1199.8	     221.8	  Infinite	     166.1	  Infinite	      1778
                   	         	0.0100	      25.0   	      3421  	 0.045698	  0.045184	   1199.8	     221.8	  Infinite	     166.1	  Infinite	      1778
14:QBW_QBW1        	     54  	0.0500	      53.8   	       912  	 0.025786	  0.019679	    106.4	      74.3	     168.5	      57.3	     293.8	       269
                   	         	0.0400	      53.8   	      1267  	 0.024960	  0.019686	    123.7	      88.1	     191.2	      56.0	     796.0	       181
                   	         	0.0300	      53.8   	      2635  	 0.024790	  0.019701	    128.3	     100.0	     172.6	      61.2	     625.5	       223
                   	         	0.0200	      53.7   	      4489  	 0.024834	  0.019734	    128.0	     105.5	     159.7	      68.7	     381.7	       336
                   	         	0.0100	      53.7   	      7891  	 0.024155	  0.019743	    148.4	     125.9	     178.7	      71.8	     752.2	       284
15:Rangi_Rangi1    	     43  	0.0500	      43.0   	       957  	 0.025392	  0.024981	   1618.8	     231.2	  Infinite	     148.1	  Infinite	       385
                   	         	0.0400	      43.0   	      1303  	 0.025613	  0.024981	   1052.2	     242.5	  Infinite	     202.5	  Infinite	       853
                   	         	0.0300	      43.0   	      1814  	 0.026182	  0.024981	    552.6	     220.1	  Infinite	     164.6	  Infinite	       792
                   	         	0.0200	      43.0   	      2845  	 0.025128	  0.024981	   4541.9	     440.1	  Infinite	     297.9	  Infinite	      1275
                   	         	0.0100	      43.0   	      5193  	 0.024269	  0.024981	   -938.6	    2675.9	  Infinite	     867.7	  Infinite	      2264
16:Suva_Suva1      	     56  	0.0500	      56.0   	       921  	 0.019998	  0.018874	    590.6	     213.5	  Infinite	     139.1	  Infinite	       308
                   	         	0.0400	      56.0   	      1358  	 0.019257	  0.018874	   1738.5	     344.9	  Infinite	     223.0	  Infinite	       521
                   	         	0.0300	      56.0   	      1816  	 0.019440	  0.018874	   1176.9	     349.2	  Infinite	     296.0	  Infinite	      1184
