Population	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	Eff.df
Muaiv_Muaiv3	         	0.03	54	1825	0.019585	0.019612	-24564.6	506.8	  Infinite	246	  Infinite	489
Muaiv_Muaiv4	         	0.02	54	2752	0.019327	0.019612	-2340.3	854.1	  Infinite	349.2	  Infinite	710
Muaiv_Muaiv5	         	 No S*	54	4815	0.019991	0.019612	1760	552.2	  Infinite	262.7	  Infinite	786
Nadi_Nadi1      	51	0.05	50.7	874	0.021608	0.020979	1057.5	234.8	  Infinite	190.1	  Infinite	540
Nadi_Nadi2	         	0.04	50.7	1153	0.02133	0.020975	1874.1	299	  Infinite	254.9	  Infinite	815
Nadi_Nadi3	         	0.03	50.6	1578	0.021799	0.021003	834.4	274.9	  Infinite	181.1	  Infinite	548
Nadi_Nadi4	         	0.02	50.5	2608	0.021235	0.021033	3305.3	472.5	  Infinite	328.5	  Infinite	1195
Nadi_Nadi5	         	 No S*	50.7	3556	0.021435	0.02098	1461.8	445.5	  Infinite	293.3	  Infinite	1235
Puna_Puna1      	25	0.05	25	873	0.04672	0.045184	400.3	96.7	  Infinite	65.8	  Infinite	369
Puna_Puna2	         	0.04	25	1972	0.046074	0.045184	692.4	156	  Infinite	129.1	  Infinite	1262
Puna_Puna3	         	0.03	25	1972	0.046074	0.045184	692.4	156	  Infinite	129.1	  Infinite	1262
Puna_Puna4	         	0.02	25	3421	0.045698	0.045184	1199.8	221.8	  Infinite	166.1	  Infinite	1778
Puna_Puna5	         	 No S*	25	1972	0.046074	0.045184	692.4	156	  Infinite	129.1	  Infinite	1262
QBW_QBW1        	54	0.05	53.8	912	0.025786	0.019679	106.4	74.3	168.5	57.3	293.8	269
QBW_QBW2	         	0.04	53.8	1267	0.02496	0.019686	123.7	88.1	191.2	56	796	181
QBW_QBW3	         	0.03	53.8	2635	0.02479	0.019701	128.3	100	172.6	61.2	625.5	223
QBW_QBW4	         	0.02	53.7	4489	0.024834	0.019734	128	105.5	159.7	68.7	381.7	336
QBW_QBW5	         	 No S*	53.7	7891	0.024155	0.019743	148.4	125.9	178.7	71.8	752.2	284
Rangi_Rangi1    	43	0.05	43	957	0.025392	0.024981	1618.8	231.2	  Infinite	148.1	  Infinite	385
Rangi_Rangi2	         	0.04	43	1303	0.025613	0.024981	1052.2	242.5	  Infinite	202.5	  Infinite	853
Rangi_Rangi3	         	0.03	43	1814	0.026182	0.024981	552.6	220.1	  Infinite	164.6	  Infinite	792
Rangi_Rangi4	         	0.02	43	2845	0.025128	0.024981	4541.9	440.1	  Infinite	297.9	  Infinite	1275
Rangi_Rangi5	         	 No S*	43	2845	0.025128	0.024981	4541.9	440.1	  Infinite	297.9	  Infinite	1275
Suva_Suva1      	56	0.05	56	921	0.019998	0.018874	590.6	213.5	  Infinite	139.1	  Infinite	308
Suva_Suva2	         	0.04	56	1358	0.019257	0.018874	1738.5	344.9	  Infinite	223	  Infinite	521
Suva_Suva3	         	0.03	56	1816	0.01944	0.018874	1176.9	349.2	  Infinite	296	  Infinite	1184
Suva_Suva4	         	0.02	56	2222	0.019452	0.018874	1150.6	373	  Infinite	291.1	  Infinite	1153
Suva_Suva5	         	 No S*	56	4709	0.019548	0.018874	987.5	445.5	  Infinite	335.2	  Infinite	1916
Taga_Taga1      	52	0.05	52	767	0.020649	0.020411	2792.8	267	  Infinite	243.6	  Infinite	638
