Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'        
304, 331, 589, 523, 360, 565, 542, 590 
Pop        
Mo_Mo31-92, 133143 115127 177197 126136 222236 153159 192192 161163
Mo_Mo31-86, 131141 127127 205207 142154 222228 147155 226236 187197
Mo_Mo31-124, 133161 115127 203217 144154 224228 157159 184192 155175
Mo_Mo31-144, 135143 124130 207217 138166 222230 147157 190204 165193
Mo_Mo31-145, 141143 109115 197197 126154 228234 147157 212224 165203
Mo_Mo31-155, 143145 121127 211217 138142 210230 147163 228236 149175
Mo_Mo31-171, 143145 115124 209225 138144 228230 147159 224242 165185
Mo_Mo31-176, 141143 115121 203217 158158 228228 147157 228256 205207
Mo_Mo31-199, 143143 124127 195219 120130 222228 147159 192212 161173
Mo_Mo31-209, 143143 121124 183217 130134 222228 147153 194226 177177
Mo_Mo31-222, 133161 121127 215219 144152 222228 147155 226226 155171
Mo_Mo33-66, 119143 121124 203217 142154 220222 147175 212222 161179
Mo_Mo33-68, 111161 121127 189197 126142 222234 147153 226242 173177
Mo_Mo33-69, 143145 115127 215217 120136 228230 151163 226236 175207
Mo_Mo33-70, 141143 121121 217217 126142 222228 147155 226238 173175
Mo_Mo33-111, 133143 121127 177219 140148 228230 147175 204226 161173
Mo_Mo41-103, 143143 121121 207217 126142 228240 155155 222238 161161
Mo_Mo41-113, 143159 121127 215221 126136 220228 147155 186194 173209
Mo_Mo41-142, 133145 121121 197209 142150 222228 155155 192210 173183
Mo_Mo41-149, 145161 124127 197199 126142 222228 155179 192226 155167
Mo_Mo41-164, 143145 121124 189199 120142 228230 155157 220222 173175
Mo_Mo41-177, 141145 121127 215255 120126 228234 147155 226236 157197
Mo_Mo41-179, 133161 115127 215215 126142 228230 155155 228240 173173
Mo_Mo41-196, 143143 121124 203217 126136 230234 147157 210236 155155
Mo_Mo41-221, 141141 115121 217221 126142 228228 155157 224226 181207
Mo_Mo41-225, 145153 124127 197211 136142 230236 147155 186194 171173
Mo_Mo45-88, 133159 127127 167189 130134 228230 149155 194214 149175
Mo_Mo45-97, 145161 121127 217219 154154 228236 147155 204210 171177
Mo_Mo45-213, 133139 115121 183215 136164 228228 151157 186236 167173
Mo_Mo45-229, 133153 121124 199203 126142 222228 155157 222224 155197
Mo_Mo45-308, 133143 127127 185215 142154 220222 147155 212214 173207
Mo_Mo45-316, 119119 121127 179191 130134 228230 147147 210236 163175
Mo_Mo45-326, 133141 121127 189223 126126 228228 147157 204256 161175
Mo_Mo45-342, 143161 124127 209257 126142 220234 147155 212242 175203
Mo_Mo45-379, 141151 121127 187219 142146 220222 147157 184212 161175
Mo_Mo46-81, 141161 115121 179185 126136 220228 147155 226260 175207
Mo_Mo46-98, 141143 115127 203217 126126 228230 151153 212236 161173
Mo_Mo46-139, 141143 121127 197207 126142 220228 153155 204214 155161
Mo_Mo46-190, 133143 115121 183219 126126 222228 151155 212226 165169
Mo_Mo46-192, 133143 121127 203209 126154 222228 147155 186242 175175
Mo_Mo46-194, 133133 121127 189189 126136 228234 155157 204236 203223
Mo_Mo47-107, 143143 121121 209219 126154 228230 147153 224260 165167
Mo_Mo47-126, 133143 124124 189237 134154 228240 155155 222224 155207
Mo_Mo47-150, 133161 127127 203203 130134 220230 153153 214222 173203
Mo_Mo47-158, 133143 121127 189211 126126 230240 155155 204238 167173
Mo_Mo47-163, 119145 121127 217217 126152 224228 147149 184224 205207
Mo_Mo47-181, 143143 121127 211219 136154 228240 153155 186204 161165
Mo_Mo48-60, 133133 121127 199201 126126 230240 155175 194236 167191
Mo_Mo48-67, 145157 124127 215255 126154 230234 155155 194214 173179
Mo_Mo48-72, 133159 121121 217253 126142 228228 155155 222256 165175
Mo_Mo48-91, 141143 121127 203217 120140 220222 153157 184210 163207
Mo_Mo48-96, 133141 121127 209219 126130 222228 153159 192236 177207
Mo_Mo59-3, 133141 121127 183219 126126 228228 155155 222236 173173
Mo_Mo59-5, 143143 121124 199219 126154 222222 147153 198226 173179
Mo_Mo59-7, 141143 124124 177203 120142 222232 153165 224242 177193
Mo_Mo59-8, 131141 124124 175183 134154 228234 157163 190222 167183
Mo_Mo59-10, 141143 124127 177215 120172 228234 147147 204236 175197
Mo_Mo59-21, 143153 121127 203215 144144 222228 147155 222238 171173
Mo_Mo59-27, 143143 121124 203213 138154 222228 143155 224224 171179
Mo_Mo59-29, 143143 124127 197209 126154 228240 151155 194218 155173
Mo_Mo59-34, 141143 121121 183189 126142 220230 155155 236242 167173
Mo_Mo59-36, 119133 121124 191207 126142 222230 155157 204222 165177
Mo_Mo59-37, 161161 121127 189199 126142 232250 153155 226242 161173
Mo_Mo59-41, 141145 115124 189217 126142 230230 151155 212226 165167
Mo_Mo59-42, 143145 121121 211217 142142 228228 147157 204222 173175
Mo_Mo59-43, 133143 127127 177253 156164 222228 147153 222236 157173
Mo_Mo59-48, 133143 124127 197209 142168 220228 153159 192224 173193
Mo_Mo59-50, 143159 115121 201219 142158 210230 155175 188192 169173
Mo_Mo28-62, 133143 115127 215223 120130 210222 153155 204226 167171
Mo_Mo28-63, 133143 121124 187223 126142 228234 155155 194194 167173
Mo_Mo28-75, 141141 121127 215221 126126 228228 147151 226226 161177
Mo_Mo28-76, 143145 121127 213215 126164 228228 155159 184214 155173
Mo_Mo28-79, 119133 124127 219223 120126 220228 153157 210228 165175
Mo_Mo28-99, 133141 115121 187221 132136 214228 155155 236242 161161
