Archipelago,Bin Width,Effective Density,Effective Density one pop,Fst ~ Distance Slope,g,Mean sampling distance,Ne as one population,Ne Harmonic Mean,Neighborhood Size,Neighborhood Size High CI,Neighborhood Size Low CI,Nm,sigma from NS,sigma from NS; Ne as one pop,sigma from sigma2,sigma from slope,sigma from slope; Ne as one pop,Theta
Fiji,35.0933,82.384330630959,NA,7.484930930825824e-7,3.51e-5,46.66166666666667,-207211.8,3844.190174458265,320462,101654085,122779,9131,31.18429750198631,NA,5.9242717308270985,63.6727778249034,NA,0.817
New Caledonia,24.48,32.61025054695767,41.90686430725898,-2.2e-6,0.996,25.080356778555384,6294.9,817.8767183557792,6709190,1000000000000,98516,976.6,226.79213114941803,200.06101456865198,1747.535407366613,NA,NA,1.088
Societies,58,15.466959021419221,44.75224874032105,6.619737997740676e-6,0.399,65.76541029430483,11772.6,1017.1909060488346,365952,531462708061,67763,1632,76.90943118926906,45.214177548856505,14.988162120532788,49.41367294761792,29.049734830264295,2.019
