Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'           
304, 408, 331, 589, 494, 523, 360, 565, 542, 593, 590 
Pop           
Puna_Puna1, 141143 188188 127127 189205 166172 134154 220232 155155 186210 155161 165197
Puna_Puna2, 133141 212212 127127 183253 188190 126136 222230 153155 192192 153157 161211
Puna_Puna3, 141143 212216 121124 197197 166188 120120 228228 147155 226238 161161 155165
Puna_Puna4, 133141 188188 121127 197205 158176 126126 230242 147159 194236 153193 161173
Puna_Puna5, 119133 196212 127127 183197 152164 136142 210228 147155 236236 153187 165213
Puna_Puna6, 133141 188188 115121 189203 156186 142154 220222 153155 186240 161161 161175
Puna_Puna7, 141141 188212 121127 221255 192200 126126 222228 153155 198256 153161 177193
Puna_Puna8, 141159 188188 121121 197211 156164 126136 210226 147153 184246 161179 165175
Puna_Puna9, 133145 188212 121121 197211 180184 126142 222228 155155 184214 163191 155161
Puna_Puna10, 143145 188214 121124 181219 150220 130134 220228 155155 194242 153161 151161
Puna_Puna11, 133143 212212 121124 189211 170184 152164 220230 147175 226236 161163 161161
Puna_Puna12, 119161 188188 115121 175217 164186 134136 222228 149157 190192 169173 171173
Puna_Puna13, 131143 188188 121124 197211 164184 126126 222242 155155 204226 161161 155179
Puna_Puna14, 119143 184190 127127 181255 150164 126136 220230 155157 236256 155155 175193
Puna_Puna15, 143143 190190 121127 189219 156184 126142 228234 147155 204222 163173 161207
Puna_Puna16, 141143 188226 115121 225255 150164 126152 228228 155155 204222 189189 149161
Puna_Puna17, 143145 188206 121124 209253 150192 152152 222228 149153 204236 161167 155161
Puna_Puna18, 133141 188188 121127 209209 156156 152154 228228 153157 210214 155163 169175
Puna_Puna19, 141153 188188 121127 197221 158166 126142 220228 147151 186222 153189 179209
Puna_Puna20, 133161 208210 115121 165219 152152 120130 230230 151155 184260 155177 149179
Puna_Puna21, 143143 212214 121127 219253 156214 126152 228228 149153 204222 143185 151157
