Sample, Locality
Lar_Lar48,Laregnere
Lar_Lar49,Laregnere
Lar_Lar50,Laregnere
Lar_Lar51,Laregnere
Lar_Lar52,Laregnere
Lar_Lar53,Laregnere
Mara_Mara1,Mara
Mara_Mara2,Mara
Mara_Mara3,Mara
Mara_Mara4,Mara
Mara_Mara5,Mara
Mara_Mara6,Mara
Mara_Mara7,Mara
Mara_Mara8,Mara
Mara_Mara9,Mara
Mara_Mara1_163,Mara
Mara_Mara1_164,Mara
Mara_Mara1_165,Mara
Mara_Mara1_166,Mara
Mara_Mara1_167,Mara
Mara_Mara1_168,Mara
Mara_Mara1_169,Mara
Mara_Mara1_170,Mara
Mara_Mara1_171,Mara
Mara_Mara1_172,Mara
Mara_Mara2_173,Mara
Mara_Mara2_174,Mara
Mara_Mara2_175,Mara
Mara_Mara2_176,Mara
Mara_Mara2_177,Mara
Mara_Mara2_178,Mara
Mara_Mara2_179,Mara
Mara_Mara2_180,Mara
Mara_Mara2_181,Mara
Mara_Mara2_182,Mara
Mara_Mara3_183,Mara
Mara_Mara3_184,Mara
Mara_Mara3_185,Mara
Mara_Mara3_186,Mara
Mara_Mara3_187,Mara
Mara_Mara3_188,Mara
Mara_Mara3_189,Mara
Mara_Mara3_190,Mara
Mara_Mara3_191,Mara
Mara_Mara3_192,Mara
Mara_Mara4_193,Mara
Mara_Mara4_194,Mara
Mara_Mara4_195,Mara
Mara_Mara4_196,Mara
Mara_Mara4_197,Mara
Mara_Mara4_198,Mara
Mara_Mara4_199,Mara
Mara_Mara4_200,Mara
Mara_Mara4_201,Mara
Mara_Mara4_202,Mara
Mara_Mara5_203,Mara
Mara_Mara5_204,Mara
Mara_Mara5_205,Mara
MBO_MBO1,M'bo
MBO_MBO2,M'bo
MBO_MBO3,M'bo
MBO_MBO4,M'bo
MBO_MBO6,M'bo
MBO_MBO7,M'bo
MBO_MBO8,M'bo
MBO_MBO9,M'bo
MBO_MBO10,M'bo
MBO_MBO11,M'bo
MBO_MBO12,M'bo
MBO_MBO13,M'bo
MBO_MBO14,M'bo
MBO_MBO15,M'bo
MBO_MBO16,M'bo
MBO_MBO17,M'bo
MBO_MBO18,M'bo
MBO_MBO19,M'bo
MBO_MBO20,M'bo
MBO_MBO21,M'bo
MBO_MBO22,M'bo
MBO_MBO23,M'bo
MBO_MBO24,M'bo
MBO_MBO25,M'bo
MBO_MBO26,M'bo
MBO_MBO27,M'bo
MBO_MBO28,M'bo
MBO_MBO29,M'bo
MBO_MBO30,M'bo
MBO_MBO31,M'bo
MBO_MBO32,M'bo
MBO_MBO33,M'bo
MBO_MBO34,M'bo
MBO_MBO35,M'bo
MBO_MBO36,M'bo
MBO_MBO37,M'bo
MBO_MBO38,M'bo
MBO_MBO39,M'bo
MBO_MBO40,M'bo
MBO_MBO41,M'bo
MBO_MBO42,M'bo
MBO_MBO43,M'bo
MBO_MBO44,M'bo
MBO_MBO45,M'bo
MBO_MBO46,M'bo
MBO_MBO47,M'bo
MBO_MBO48,M'bo
MBO_MBO49,M'bo
MBO_MBO50,M'bo
MBO_MBO51,M'bo
QBW_QBW1,4 Banks West
QBW_QBW2,4 Banks West
QBW_QBW3,4 Banks West
QBW_QBW4,4 Banks West
QBW_QBW5,4 Banks West
QBW_QBW6,4 Banks West
QBW_QBW7,4 Banks West
QBW_QBW8,4 Banks West
QBW_QBW9,4 Banks West
QBW_QBW10,4 Banks West
QBW_QBW11,4 Banks West
QBW_QBW12,4 Banks West
QBW_QBW13,4 Banks West
QBW_QBW14,4 Banks West
QBW_QBW15,4 Banks West
QBW_QBW16,4 Banks West
QBW_QBW17,4 Banks West
QBW_QBW18,4 Banks West
QBW_QBW19,4 Banks West
QBW_QBW20,4 Banks West
QBW_QBW21,4 Banks West
QBW_QBW22,4 Banks West
QBW_QBW23,4 Banks West
QBW_QBW24,4 Banks West
QBW_QBW25,4 Banks West
QBW_QBW26,4 Banks West
QBW_QBW27,4 Banks West
QBW_QBW28,4 Banks West
QBW_QBW29,4 Banks West
QBW_QBW30,4 Banks West
QBW_QBW31,4 Banks West
QBW_QBW32,4 Banks West
QBW_QBW33,4 Banks West
QBW_QBW34,4 Banks West
QBW_QBW35,4 Banks West
QBW_QBW36,4 Banks West
QBW_QBW37,4 Banks West
QBW_QBW38,4 Banks West
QBW_QBW39,4 Banks West
QBW_QBW40,4 Banks West
QBW_QBW41,4 Banks West
QBW_QBW42,4 Banks West
QBW_QBW43,4 Banks West
QBW_QBW44,4 Banks West
QBW_QBW45,4 Banks West
QBW_QBW46,4 Banks West
QBW_QBW47,4 Banks West
QBW_QBW48,4 Banks West
QBW_QBW49,4 Banks West
QBW_QBW50,4 Banks West
QBW_QBW51,4 Banks West
QBW_QBW52,4 Banks West
QBW_QBW53,4 Banks West
QBW_QBW54,4 Banks West
Ten_Ten1,Tenia
Ten_Ten2,Tenia
Ten_Ten3,Tenia
Ten_Ten4,Tenia
Ten_Ten5,Tenia
Ten_Ten6,Tenia
Ten_Ten7,Tenia
Ten_Ten8,Tenia
Ten_Ten9,Tenia
Ten_Ten10,Tenia
Ten_Ten11,Tenia
Ten_Ten12,Tenia
Ten_Ten13,Tenia
Ten_Ten14,Tenia
Ten_Ten15,Tenia
Ten_Ten16,Tenia
Ten_Ten17,Tenia
Ten_Ten18,Tenia
Ten_Ten19,Tenia
Ten_Ten20,Tenia
Ten_Ten21,Tenia
Ten_Ten22,Tenia
Ten_Ten23,Tenia
Ten_Ten24,Tenia
Ten_Ten25,Tenia
Ten_Ten26,Tenia
Ten_Ten27,Tenia
Ten_Ten28,Tenia
Ten_Ten29,Tenia
Ten_Ten30,Tenia
Ten_Ten31,Tenia
Ten_Ten32,Tenia
Ten_Ten33,Tenia
Ten_Ten34,Tenia
Ten_Ten35,Tenia
Ten_Ten36,Tenia
Ten_Ten37,Tenia
Ten_Ten38,Tenia
Ten_Ten39,Tenia
Ten_Ten40,Tenia
Ten_Ten41,Tenia
Ten_Ten42,Tenia
Ten_Ten43,Tenia
Ten_Ten44,Tenia
Ten_Ten45,Tenia
Ten_Ten46,Tenia
Ten_Ten47,Tenia
